DATE,CONNET_CBN,AAO,AO,DMI,MEIv2,NAO,ONI,PDO,SOI,TNA,TSA,WHWP,WP
1/1/1980,14.502197,-0.612,0.265,0.353,0.64,0.68,0.81,0.93,-0.2,0.15,0.63,0.31,1.83
2/1/1980,13.731947,0.551,-1.066,-0.154,0.39,0.42,0.54,1.24,-0.6,-0.02,0.66,-0.01,0.3
3/1/1980,14.401227,-0.219,-0.197,-0.313,0.27,-0.58,0.14,1.42,1.1,0.27,0.77,0.77,0.53
4/1/1980,14.578346,-0.077,-0.561,-0.128,-0.13,-1.42,-0.31,0.94,0.2,0.38,0.59,-0.04,-0.2
5/1/1980,15.235063,-0.749,-0.846,-0.513,-0.59,0.64,-0.88,1.2,1.5,0.29,0.71,0.15,-0.15
6/1/1980,16.325729,-1.055,0.06,-0.272,-1.35,1.19,-1.3,0.74,0.1,0.34,0.73,-0.3,-0.25
7/1/1980,18.566893,0.576,-0.143,-0.15,-1.77,-0.32,-1.3,0.64,1.7,0.27,0.46,-0.39,-1.47
8/1/1980,20.437826,-0.745,0.255,-0.289,-1.82,-0.07,-1.11,0.19,2.5,0.03,0.5,-0.98,0.78
9/1/1980,21.019838,-0.689,1.039,-0.394,-1.8,-0.82,-1.19,-0.37,3,0.06,0.3,-1.86,-0.83
10/1/1980,20.650026,-2.314,0.032,-0.525,-1.53,-0.66,-1.48,-0.1,2.3,-0.2,0.37,-2.31,-0.56
11/1/1980,20.003412,0.401,-0.035,-0.183,-1.65,-0.49,-1.8,-0.02,2.8,-0.23,0.14,-1.69,-0.96
12/1/1980,17.707771,1.074,1.679,0.156,-1.56,0.48,-1.85,-0.43,2,-0.23,0.19,-0.2,-0.67
1/1/1981,14.895021,0.618,3.106,-0.281,-1.15,0.85,-1.69,-0.95,2.5,-0.42,0.41,-0.17,1.26
2/1/1981,13.623681,0.849,3.279,-0.045,-1.14,1.82,-1.43,-1.02,2,-0.48,0.23,-0.3,0.53
3/1/1981,13.25419,0.632,1.53,-0.319,-1.26,1.54,-1.08,-0.83,1.8,-0.66,0.35,-0.91,-1.98
4/1/1981,13.789858,-0.573,-0.25,-0.48,-1.09,0.16,-0.83,-0.32,2.7,-0.89,0.29,-1.9,-0.28
5/1/1981,15.454542,2.691,0.889,-0.594,-0.98,1.33,-0.58,0.47,2,-0.66,0.33,-1.29,0.36
6/1/1981,15.856561,1.995,0.345,-0.78,-1.04,0.03,-0.4,0.36,1.2,-0.17,0.31,-1.84,-0.62
7/1/1981,17.455988,1.458,0.866,-0.447,-1.11,1,-0.31,0.83,1.5,0.25,0.26,-1.33,0.89
8/1/1981,18.377773,-0.132,0.551,-0.321,-0.74,-0.11,-0.27,0.09,-0.5,0.39,0.39,-0.96,2.52
9/1/1981,19.486753,-0.121,0.703,-0.225,-0.6,2.15,-0.24,0.05,0.8,0.06,0.21,-2.1,0.44
10/1/1981,19.30615,0.136,0.991,-0.412,-0.59,0.48,-0.22,-0.12,1.3,0.12,0.28,-0.8,1.5
11/1/1981,20.125608,0.572,0.034,-0.338,-0.35,0.03,-0.16,-0.5,-0.4,-0.04,-0.06,-0.5,-0.47
12/1/1981,18.952894,-0.445,-0.644,-0.167,-0.14,-1.15,-0.05,-0.21,-0.9,0.22,-0.25,0.03,-1.98
1/1/1982,14.583294,-0.352,1.001,-0.099,0.13,0.7,0.14,-0.3,-0.1,-0.08,-0.34,-0.13,1.37
2/1/1982,14.10105,1.151,3.402,-0.289,0.4,1.16,0.21,-0.65,-3,-0.1,0.13,-0.12,0.24
3/1/1982,13.549294,0.414,2.99,-0.143,0.47,1.13,0.28,-0.62,-0.7,-0.04,0.32,-0.31,-0.13
4/1/1982,14.204083,-1.879,1.879,-0.385,0.12,2.03,0.29,0.27,0.3,0.06,0.35,0.66,-0.84
5/1/1982,14.75004,-1.803,0.943,-0.348,0.07,-1.37,0.29,0.44,2,0.13,-0.06,0.49,0.17
6/1/1982,16.665983,0.093,0.304,-0.568,0.15,0.29,0.31,0.44,0.5,-0.02,0.08,0.87,0.77
7/1/1982,18.268147,-1.215,-0.296,-0.246,0.27,0.56,0.33,0.27,0.9,0.06,-0.11,0.62,0.42
8/1/1982,19.07439,0.466,-0.18,-0.392,0.11,1.12,0.38,0.11,-0.3,0.3,-0.13,0.44,0.59
9/1/1982,21.235477,1.482,-0.21,-0.183,0.26,1.18,0.39,0.38,-1.2,0.4,-0.07,2.84,0.68
10/1/1982,21.730169,0.139,0.66,-0.345,-0.06,0.76,0.35,-0.69,0.4,0.41,0.1,2.67,0.11
11/1/1982,21.943981,-0.359,0.521,-0.094,0.07,-0.39,0.4,-1.69,-0.8,0.33,0.17,0.73,0.59
12/1/1982,18.798647,-0.312,1.277,0.003,0.26,0.11,0.41,-2.23,-0.4,0.17,0.22,0.03,0.61
1/1/1983,15.03441,0.869,0.723,0.065,0.13,0.49,0.41,-2.02,1,-0.14,0.12,-0.03,-1.3
2/1/1983,13.83947,-0.852,-0.876,-0.097,0.04,0.74,0.26,-1.19,0.4,-0.11,0.06,-0.03,-0.78
3/1/1983,13.689717,0.522,-0.527,-0.037,0.21,-0.61,0.22,-0.74,-1.1,-0.22,0.14,0.44,1.83
4/1/1983,13.776511,-0.639,0.53,0.289,0.49,0.17,0.26,-1.01,-1,-0.39,0.31,0.96,0.7
5/1/1983,15.622031,-0.539,0.486,0.379,0.74,0.12,0.45,-0.51,-1.7,-0.42,0.49,0.72,0.56
6/1/1983,17.240458,-1.155,-0.115,0.263,1.07,-0.52,0.64,-1.47,-0.2,-0.43,0.44,1.49,0.63
7/1/1983,18.122202,-1.22,-0.188,0.27,0.85,-0.46,0.73,-0.1,0,-0.39,0.05,0.89,-1.73
8/1/1983,20.559887,0.036,0.797,0.058,0.41,1.46,0.64,0.36,-0.7,-0.29,-0.33,-0.46,-1.15
